Depth,Distance,TealeX,TealeY,ATOScal
-9,261.995805,-127150,-240611.5809,655.8568618
-1,179.784208,-127050,-240611.5809,655.9442733
-1,86.220723,-126950,-240611.5809,656.0825666
-50,1864.08378,-129450,-240511.5809,650.9630453
-50,1815.640477,-129350,-240511.5809,651.1319934
-44,1771.522606,-129250,-240511.5809,651.3009414
-44,1727.120191,-129150,-240511.5809,650.8776317
-39,1686.096221,-129050,-240511.5809,651.05651
-39,1650.120232,-128950,-240511.5809,651.2353882
-35,1618.836715,-128850,-240511.5809,654.5972826
-35,1592.850582,-128750,-240511.5809,654.6573387
-31,1569.573737,-128650,-240511.5809,654.7173947
-31,1520.10321,-128550,-240511.5809,654.7774508
-28,1440.994566,-128450,-240511.5809,654.8375068
-28,1364.630686,-128350,-240511.5809,654.8975628
-25,1273.679428,-128250,-240511.5809,654.9576189
-25,1183.970282,-128150,-240511.5809,655.0176749
-22,1096.043782,-128050,-240511.5809,655.077731
-22,1009.35716,-127950,-240511.5809,654.9799522
-20,920.81657,-127850,-240511.5809,655.0673636
-20,821.862486,-127750,-240511.5809,655.1547751
-18,723.196195,-127650,-240511.5809,655.2421865
-18,624.954019,-127550,-240511.5809,655.3295979
-15,526.625347,-127450,-240511.5809,655.4170094
-15,426.989419,-127350,-240511.5809,655.5044208
-9,327.575444,-127250,-240511.5809,655.5918323
-9,228.673084,-127150,-240511.5809,655.6792437
-1,131.440469,-127050,-240511.5809,655.7666551
-1,39.5132,-126950,-240511.5809,655.8540666
-54,2006.829419,-129850,-240411.5809,650.1885845
-54,1953.916201,-129750,-240411.5809,650.3575325
-48,1891.964725,-129650,-240411.5809,650.5264805
-48,1833.377354,-129550,-240411.5809,650.6954286
-43,1778.486583,-129450,-240411.5809,650.8643766
-43,1727.644792,-129350,-240411.5809,651.0333247
-38,1681.219358,-129250,-240411.5809,651.2022727
-38,1637.620236,-129150,-240411.5809,650.8162914
-34,1594.294939,-129050,-240411.5809,650.9951696
-34,1556.198145,-128950,-240411.5809,651.1740479
-30,1523.367125,-128850,-240411.5809,651.3529262
-30,1495.723258,-128750,-240411.5809,654.4740215
-27,1472.14082,-128650,-240411.5809,654.5340776
-27,1451.158776,-128550,-240411.5809,654.5941336
-25,1380.375677,-128450,-240411.5809,654.6541896
-25,1300.457066,-128350,-240411.5809,654.7142457
-23,1223.495056,-128250,-240411.5809,654.7743017
-23,1141.615329,-128150,-240411.5809,654.8343578
-20,1050.148514,-128050,-240411.5809,654.8944138
-20,960.384426,-127950,-240411.5809,654.9544698
-18,872.848549,-127850,-240411.5809,655.0145259
-18,786.507678,-127750,-240411.5809,654.9771569
-16,703.608049,-127650,-240411.5809,655.0645684
-16,612.7563,-127550,-240411.5809,655.1519798
-14,512.859702,-127450,-240411.5809,655.2393913
-14,413.013152,-127350,-240411.5809,655.3268027
-7,313.26451,-127250,-240411.5809,655.4142141
-7,213.750891,-127150,-240411.5809,655.5016256
-1,115.083593,-127050,-240411.5809,655.589037
-1,23.746185,-126950,-240411.5809,655.6764485
-54,1923.1718,-129850,-240311.5809,650.0899157
-54,1868.786336,-129750,-240311.5809,650.2588638
-48,1813.21171,-129650,-240311.5809,650.4278118
-48,1751.992782,-129550,-240311.5809,650.5967599
-43,1694.467677,-129450,-240311.5809,650.7657079
-43,1641.024897,-129350,-240311.5809,650.9346559
-38,1592.075599,-129250,-240311.5809,651.103604
-38,1548.046096,-129150,-240311.5809,650.754951
-34,1503.539902,-129050,-240311.5809,650.9338293
-34,1463.081868,-128950,-240311.5809,651.1127076
-30,1428.473633,-128850,-240311.5809,651.2915859
-30,1399.000769,-128750,-240311.5809,651.4704642
-27,1375.076534,-128650,-240311.5809,654.3507604
-27,1353.157383,-128550,-240311.5809,654.4108164
-25,1324.540933,-128450,-240311.5809,654.4708725
-25,1241.031931,-128350,-240311.5809,654.5309285
-23,1160.134399,-128250,-240311.5809,654.5909846
-23,1082.434014,-128150,-240311.5809,654.6510406
-20,1008.6699,-128050,-240311.5809,654.7110966
-20,918.606649,-127950,-240311.5809,654.7711527
-18,826.658648,-127850,-240311.5809,654.8312087
-18,736.811281,-127750,-240311.5809,654.8912648
-16,649.551245,-127650,-240311.5809,654.9513208
-16,564.257724,-127550,-240311.5809,655.0113768
-14,484.6202,-127450,-240311.5809,655.0617731
-14,413.916292,-127350,-240311.5809,655.1491846
-7,319.526609,-127250,-240311.5809,655.236596
-7,222.018998,-127150,-240311.5809,655.3240075
-1,128.404114,-127050,-240311.5809,655.4114189
-1,37.778491,-126950,-240311.5809,655.4988303
-50,1964.558106,-130050,-240211.5809,649.648313
-50,1901.197325,-129950,-240211.5809,649.8117462
-45,1841.090433,-129850,-240211.5809,649.9751793
-45,1784.566249,-129750,-240211.5809,650.1601951
-41,1731.283278,-129650,-240211.5809,650.3291431
-41,1672.628139,-129550,-240211.5809,650.4980911
-37,1612.273827,-129450,-240211.5809,650.6670392
-37,1556.010571,-129350,-240211.5809,650.8359872
-33,1504.297476,-129250,-240211.5809,651.0049353
-33,1457.618914,-129150,-240211.5809,651.1738833
-29,1414.032575,-129050,-240211.5809,650.872489
-29,1370.935607,-128950,-240211.5809,651.0513673
-27,1333.956803,-128850,-240211.5809,651.2302456
-27,1302.773288,-128750,-240211.5809,651.4091238
-25,1278.185788,-128650,-240211.5809,652.449709
-25,1255.25299,-128550,-240211.5809,653.6018162
-23,1236.690812,-128450,-240211.5809,653.7007374
-23,1187.068627,-128350,-240211.5809,654.3476114
-21,1102.217536,-128250,-240211.5809,654.4076674
-21,1020.115222,-128150,-240211.5809,654.4677234
-19,941.481087,-128050,-240211.5809,654.5277795
-19,867.259021,-127950,-240211.5809,654.5878355
-17,790.159831,-127850,-240211.5809,654.6478916
-17,695.981892,-127750,-240211.5809,654.7079476
-16,603.25545,-127650,-240211.5809,654.7680036
-16,513.267456,-127550,-240211.5809,654.8280597
-12,426.273704,-127450,-240211.5809,654.8881157
-12,343.772061,-127350,-240211.5809,654.9481718
-6,273.220037,-127250,-240211.5809,655.0589779
-6,193.11662,-127150,-240211.5809,655.1463893
-1,114.368933,-127050,-240211.5809,655.2338008
-1,23.386844,-126950,-240211.5809,655.3212122
-50,1889.58005,-130050,-240111.5809,649.5497191
-50,1823.616045,-129950,-240111.5809,649.7131522
-45,1760.862912,-129850,-240111.5809,649.8765854
-45,1701.675911,-129750,-240111.5809,650.0615263
-41,1646.320069,-129650,-240111.5809,650.2304744
-41,1594.465805,-129550,-240111.5809,650.3994224
-37,1532.198773,-129450,-240111.5809,650.5683705
-37,1472.879859,-129350,-240111.5809,650.7373185
-33,1418.138598,-129250,-240111.5809,650.9062665
-33,1368.524418,-129150,-240111.5809,651.0752146
-29,1324.613561,-129050,-240111.5809,650.8111487
-29,1279.968876,-128950,-240111.5809,650.990027
-27,1240.28087,-128850,-240111.5809,651.1689052
-27,1207.159198,-128750,-240111.5809,651.3477835
-25,1180.582059,-128650,-240111.5809,651.5266618
-25,1157.440581,-128550,-240111.5809,652.4890303
-23,1137.947834,-128450,-240111.5809,653.5390493
-23,1117.293613,-128350,-240111.5809,653.6379706
-21,1050.64512,-128250,-240111.5809,653.7368918
-21,964.161158,-128150,-240111.5809,654.2844063
-19,880.544326,-128050,-240111.5809,654.3444623
-19,800.693375,-127950,-240111.5809,654.4045184
-17,725.852224,-127850,-240111.5809,654.4645744
-17,655.79412,-127750,-240111.5809,654.5246304
-16,569.140895,-127650,-240111.5809,654.5846865
-16,473.974562,-127550,-240111.5809,654.6447425
-12,380.091772,-127450,-240111.5809,654.7047986
-12,289.820805,-127350,-240111.5809,654.7648546
-6,203.719714,-127250,-240111.5809,654.8249106
-6,132.932363,-127150,-240111.5809,654.8849667
-1,60.744465,-127050,-240111.5809,655.0561827
-53,2032.443433,-130450,-240011.5809,648.7645181
-53,1986.609753,-130350,-240011.5809,648.941311
-47,1944.841975,-130250,-240011.5809,649.1242588
-47,1888.511123,-130150,-240011.5809,649.2876919
-41,1817.013202,-130050,-240011.5809,649.4511251
-41,1748.313384,-129950,-240011.5809,649.6145583
-38,1682.75441,-129850,-240011.5809,649.7779914
-38,1620.71747,-129750,-240011.5809,649.9414246
-35,1562.622102,-129650,-240011.5809,650.1318057
